reaction	linear_coefficient
GLYCtpp	0.5
FMNAT	0.5
RBFK	0.5
GLYAT	0.5
GLYC3Pt6pp	0.5
FORAMD	0.5
GLYCDH	0.5
PPDD	0.5
FORt2pp	0.5
FORtppi	0.5
LYSTRS	0.5
LYSt2pp	0.5
FRD2	0.5
FRD3	0.5
LYXI	0.5
RMI	0.5
LYXt2pp	0.5
RMNtpp	0.5
GLYCK2	0.5
M1PD	0.5
FRUK	0.5
FTHFD	0.5
FUCtpp	0.5
MACPT	0.5
MALDDH	0.5
FUM	0.5
GLYK	0.5
MALS	0.5
MAN6PI	0.5
MANAO	0.5
UAGDP	0.5
G1PACT	0.5
GLYOX	0.5
GAL1PPpp	0.5
G1PPpp	0.5
GLYTRS	0.5
MCPST	0.5
G1PTT	0.5
MCTP2App	0.5
MCTP1App	0.5
MPTG	0.5
MCTP1Bpp	0.5
MPTG2	0.5
GMHEPPA	0.5
GMPR	0.5
G1SAT	0.5
GMPS2	0.5
NTD10pp	0.5
G2PPpp	0.5
NTD7pp	0.5
PSP_Lpp	0.5
NTD1pp	0.5
NTD4pp	0.5
NTD2pp	0.5
TYRPpp	0.5
NTD8pp	0.5
NTD11pp	0.5
PTHRpp	0.5
NTD5pp	0.5
NTD3pp	0.5
NTD12pp	0.5
NTD9pp	0.5
R5PPpp	0.5
NTD6pp	0.5
G3PAT181	0.5
G3PAT160	0.5
G3PAT141	0.5
G3PAT180	0.5
G3PAT120	0.5
G3PAT161	0.5
G3PAT140	0.5
GND	0.5
GNK	0.5
GPDDA3	0.5
GPDDA4	0.5
GPDDA2	0.5
GPDDA5	0.5
GPDDA1	0.5
G3PSabcpp	0.5
G3PIabcpp	0.5
GLYC3Pabcpp	0.5
G3PCabcpp	0.5
G3PGabcpp	0.5
G3PEabcpp	0.5
GPDDA5pp	0.5
GPDDA3pp	0.5
GPDDA4pp	0.5
GPDDA1pp	0.5
GPDDA2pp	0.5
MDDCP2pp	0.5
MDDCP5pp	0.5
MDDCP3pp	0.5
MDDCP1pp	0.5
MDDCP4pp	0.5
RNDR3b	0.5
RNDR1b	0.5
PAPSR2	0.5
RNDR2b	0.5
GRXR	0.5
RNDR4b	0.5
MDDEP1pp	0.5
MDDEP2pp	0.5
MDDEP4pp	0.5
MDDEP3pp	0.5
G3PD2	0.5
G3PD7	0.5
G3PD5	0.5
